lat,lon,suburb,published_suburb
-34.5863,-58.4438,Chacarita,Chacarita
-34.6225,-58.5094,Monte Castro,Monte Castro
-34.5602,-58.4716,Coghlan,Coghlan
-34.5816,-58.4484,Chacarita,Chacarita
-34.6075,-58.4306,Caballito,Caballito
-34.6374,-58.375,Barracas,Barracas
-34.5558,-58.4578,Belgrano,Belgrano
-34.5486,-58.4822,Saavedra,Saavedra
-34.5855,-58.4382,Palermo,Palermo
-34.5848,-58.4159,Palermo,Palermo
-34.5846,-58.4005,Recoleta,Recoleta
-34.6053,-58.4246,Almagro,Almagro
-34.5583,-58.4615,Belgrano,Belgrano
-34.5564,-58.4629,Belgrano,Belgrano
-34.588,-58.4201,Palermo,Palermo
-34.59,-58.4238,Palermo,Palermo
-34.59,-58.3988,Recoleta,Recoleta
-34.5981,-58.3959,Recoleta,Recoleta
-34.9193,-57.9396,La Plata,La Plata
-34.5731,-58.4387,Palermo,Palermo
-34.5899,-58.4335,Palermo,Palermo
-34.6309,-58.4009,Parque Patricios,Parque Patricios
-34.6214,-58.3717,San Telmo,San Telmo
-34.5913,-58.4461,Chacarita,Chacarita
-34.5682,-58.4583,Belgrano,Belgrano
-34.5781,-58.4302,Palermo,Palermo
-34.6076,-58.438,Caballito,Caballito
-34.5905,-58.4198,Palermo,Palermo
-34.5653,-58.4686,Belgrano,Belgrano
-34.564,-58.4603,Belgrano,Belgrano
-34.6477,-58.5044,Mataderos,Mataderos
-34.6066,-58.3883,San Nicolás,San Nicolás
-34.6317,-58.4052,Parque Patricios,Parque Patricios
-34.6154,-58.3834,Monserrat,Monserrat
-34.6019,-58.3886,San Nicolás,San Nicolás
-34.588,-58.4201,Palermo,Palermo
-34.5885,-58.4869,Agronomía,Agronomía
-34.6059,-58.4266,Almagro,Almagro
-34.5964,-58.3791,Retiro,Retiro
-34.6251,-58.4461,Caballito,Caballito
-34.5793,-58.4558,Chacarita,Chacarita
-34.5917,-58.3971,Recoleta,Recoleta
-34.6429,-58.5059,Villa Luro,Villa Luro
-34.568,-58.4313,Palermo,Palermo
-34.5924,-58.4425,Villa Crespo,Villa Crespo
-34.6032,-58.4328,Almagro,Almagro
-34.5614,-58.4507,Belgrano,Belgrano
-34.6388,-58.5177,Liniers,Liniers
-34.5436,-58.4844,Saavedra,Saavedra
-34.5905,-58.4111,Recoleta,Recoleta
-34.5909,-58.4009,Recoleta,Recoleta
-34.5827,-58.4325,Palermo,Palermo
-34.6071,-58.4278,Almagro,Almagro
-34.5923,-58.3727,Retiro,Retiro
-34.5985,-58.3783,Retiro,Retiro
-34.5996,-58.4305,Villa Crespo,Villa Crespo
-34.6327,-58.428,Parque Chacabuco,Parque Chacabuco
-34.5766,-58.4301,Palermo,Palermo
-34.6078,-58.44,Caballito,Caballito
-34.6008,-58.4439,Villa Crespo,Villa Crespo
-34.546,-58.4801,Saavedra,Saavedra
-34.933,-57.9543,La Plata,La Plata
-34.589,-58.4002,Recoleta,Recoleta
-34.5625,-58.4651,Belgrano,Belgrano
-34.5828,-58.4747,Parque Chas,Parque Chas
-34.6024,-58.4253,Almagro,Almagro
-34.5724,-58.4474,Colegiales,Colegiales
-34.5651,-58.4675,Belgrano,Belgrano
-34.5608,-58.4659,Belgrano,Belgrano
-34.5591,-58.4506,Belgrano,Belgrano
-34.6123,-58.4164,Almagro,Almagro
-34.6027,-58.4387,Villa Crespo,Villa Crespo
-34.5573,-58.4447,Belgrano,Belgrano
-34.5943,-58.4346,Villa Crespo,Villa Crespo
-34.9295,-57.9463,La Plata,La Plata
-34.5991,-58.4133,Almagro,Almagro
-34.9272,-57.9557,La Plata,La Plata
-34.6208,-58.4822,Villa Santa Rita,Villa Santa Rita
-34.5595,-58.481,Coghlan,Coghlan
-34.6095,-58.423,Almagro,Almagro
-34.6524,-58.5279,Liniers,Liniers
-31.4163,-64.4829,Villa Carlos Paz,Villa Carlos Paz
-34.6016,-58.441,Villa Crespo,Villa Crespo
-34.5818,-58.4224,Palermo,Palermo
-34.5946,-58.4444,Villa Crespo,Villa Crespo
-34.5769,-58.493,Villa Urquiza,Villa Urquiza
-34.6157,-58.3628,Puerto Madero,Puerto Madero
-34.6053,-58.4271,Almagro,Almagro
-34.599,-58.506,Villa Devoto,Villa Devoto
-34.5978,-58.4409,Villa Crespo,Villa Crespo
-34.9127,-57.9389,La Plata,La Plata
-34.5897,-58.4122,Palermo,Palermo
-34.6004,-58.4237,Almagro,Almagro
-34.632,-58.3586,La Boca,La Boca
-34.5977,-58.4261,Villa Crespo,Villa Crespo
-34.6428,-58.4384,Parque Chacabuco,Parque Chacabuco
-34.6497,-58.5194,Liniers,Liniers
-34.5619,-58.4789,Coghlan,Coghlan
-34.5774,-58.4056,Palermo,Palermo
-34.9155,-57.9729,La Plata,La Plata
-34.5833,-58.4139,Palermo,Palermo
-34.5827,-58.4441,Colegiales,Colegiales
-34.611,-58.3613,Puerto Madero,Puerto Madero
-34.5841,-58.4247,Palermo,Palermo
-34.5799,-58.4888,Villa Urquiza,Villa Urquiza
-34.5952,-58.3783,Retiro,Retiro
-34.5695,-58.4491,Colegiales,Colegiales
-34.5984,-58.4843,Villa del Parque,Villa del Parque
-34.5482,-58.4571,Núñez,Núñez
-34.585,-58.4235,Palermo,Palermo
-34.6101,-58.3878,Monserrat,Monserrat
-34.6224,-58.3742,San Telmo,San Telmo
-34.587,-58.5077,Villa Pueyrredón,Villa Pueyrredón
-34.5775,-58.4253,Palermo,Palermo
-34.5711,-58.4307,Palermo,Palermo
-34.6019,-58.3711,San Nicolás,San Nicolás
-34.9219,-57.9631,La Plata,La Plata
-34.6041,-58.4764,Villa del Parque,Villa del Parque
-34.6401,-58.4779,Parque Avellaneda,Parque Avellaneda
-34.9252,-57.938,La Plata,La Plata
-34.5941,-58.3933,Recoleta,Recoleta
-34.6107,-58.4421,Caballito,Caballito
-34.5792,-58.4314,Palermo,Palermo
-34.643,-58.4175,Nueva Pompeya,Nueva Pompeya
-34.5832,-58.4416,Palermo,Palermo
-34.6031,-58.3829,San Nicolás,San Nicolás
-34.6152,-58.4351,Caballito,Caballito
-34.5797,-58.4002,Palermo,Palermo
-34.5981,-58.4425,Villa Crespo,Villa Crespo
-34.5792,-58.4557,Chacarita,Chacarita
-34.6246,-58.3835,Constitución,Constitución
-34.5899,-58.4015,Recoleta,Recoleta
-34.6115,-58.421,Almagro,Almagro
-34.5609,-58.453,Belgrano,Belgrano
-34.5883,-58.4837,Parque Chas,Parque Chas
-34.5683,-58.4481,Palermo,Palermo
-34.6146,-58.4736,Villa General Mitre,Villa General Mitre
-34.5877,-58.3869,Recoleta,Recoleta
-34.5718,-58.4328,Palermo,Palermo
-34.588,-58.4201,Palermo,Palermo
-34.574,-58.5002,Villa Urquiza,Villa Urquiza
-34.6,-58.3767,San Nicolás,San Nicolás
-34.6128,-58.3623,Puerto Madero,Puerto Madero
-34.5576,-58.4807,Coghlan,Coghlan
-34.6157,-58.4653,Villa General Mitre,Villa General Mitre
-34.5919,-58.3896,Recoleta,Recoleta
-34.622,-58.4375,Caballito,Caballito
-34.5808,-58.4979,Villa Pueyrredón,Villa Pueyrredón
-34.6221,-58.3843,Constitución,Constitución
-34.5992,-58.4236,Almagro,Almagro
-34.5457,-58.4699,Núñez,Núñez
-34.6145,-58.4405,Caballito,Caballito
-34.6202,-58.4612,Flores,Flores
-34.5803,-58.4516,Chacarita,Chacarita
-34.585,-58.455,Chacarita,Chacarita
-34.6036,-58.4608,La Paternal,La Paternal
-34.5817,-58.4483,Chacarita,Chacarita
-34.5982,-58.3852,Retiro,Retiro
-34.6309,-58.4009,Parque Patricios,Parque Patricios
-34.6074,-58.4173,Almagro,Almagro
-34.6337,-58.3755,Barracas,Barracas
-34.605,-58.459,Caballito,Caballito
-34.6099,-58.434,Caballito,Caballito
-34.6019,-58.4096,Balvanera,Balvanera
-34.5925,-58.4113,Recoleta,Recoleta
-34.6909,-58.4758,Villa Riachuelo,Villa Riachuelo
-34.6159,-58.3944,Balvanera,Balvanera
-34.6244,-58.4618,Flores,Flores
-34.5909,-58.5073,Villa Devoto,Villa Devoto
-34.6396,-58.5128,Liniers,Liniers
-34.6059,-58.4513,Villa Crespo,Villa Crespo
-34.6298,-58.4449,Parque Chacabuco,Parque Chacabuco
-34.58,-58.4504,Colegiales,Colegiales
-34.585,-58.4246,Palermo,Palermo
-34.5646,-58.4647,Belgrano,Belgrano
-34.6037,-58.3804,San Nicolás,San Nicolás
-34.6123,-58.4164,Almagro,Almagro
-34.5655,-58.4739,Coghlan,Coghlan
-34.6336,-58.4574,Flores,Flores
-34.6356,-58.4397,Parque Chacabuco,Parque Chacabuco
-34.599,-58.4133,Almagro,Almagro
-34.57,-58.4864,Villa Urquiza,Villa Urquiza
-34.599,-58.4133,Almagro,Almagro
-34.6003,-58.4481,Villa Crespo,Villa Crespo
-34.9312,-57.9689,La Plata,La Plata
-34.577,-58.4398,Palermo,Palermo
-34.5924,-58.4106,Recoleta,Recoleta
-34.6169,-58.3612,Puerto Madero,Puerto Madero
-34.6076,-58.429,Almagro,Almagro
-34.5879,-58.3982,Recoleta,Recoleta
-34.5725,-58.4404,Palermo,Palermo
-34.6461,-58.5057,Liniers,Liniers
-34.5857,-58.4488,Chacarita,Chacarita
-34.5968,-58.399,Recoleta,Recoleta
-34.5885,-58.407,Recoleta,Recoleta
-34.5963,-58.403,Recoleta,Recoleta
-34.6035,-58.4146,Almagro,Almagro
-34.6069,-58.3943,Balvanera,Balvanera
-34.574,-58.4339,Palermo,Palermo
-34.6262,-58.4297,Caballito,Caballito
-34.57,-58.447,Colegiales,Colegiales
-34.6224,-58.4557,Flores,Flores
-34.5821,-58.4522,Chacarita,Chacarita
-34.6237,-58.4467,Caballito,Caballito
-34.604,-58.4313,Almagro,Almagro
-34.6058,-58.4887,Villa del Parque,Villa del Parque
-34.548,-58.4619,Núñez,Núñez
-34.6135,-58.4234,Almagro,Almagro
-34.5834,-58.4338,Palermo,Palermo
-34.5474,-58.4519,Belgrano,Belgrano
-34.603,-58.3889,San Nicolás,San Nicolás
-34.604,-58.4123,Balvanera,Balvanera
-34.5883,-58.5096,Villa Devoto,Villa Devoto
-34.5669,-58.4565,Belgrano,Belgrano
-34.5621,-58.4779,Coghlan,Coghlan
-34.6355,-58.4403,Parque Chacabuco,Parque Chacabuco
-34.9162,-57.9293,La Plata,La Plata
-34.5892,-58.4058,Recoleta,Recoleta
-34.6201,-58.4433,Caballito,Caballito
-34.5803,-58.4522,Chacarita,Chacarita
-34.6458,-58.5142,Liniers,Liniers
-34.5862,-58.474,Parque Chas,Parque Chas
-34.5792,-58.4596,Chacarita,Chacarita
-34.5818,-58.474,Parque Chas,Parque Chas
-34.6281,-58.3913,Parque Patricios,Parque Patricios
-34.5977,-58.4158,Recoleta,Recoleta
-34.6061,-58.3907,San Nicolás,San Nicolás
-34.5977,-58.4134,Recoleta,Recoleta
-34.9315,-57.9468,La Plata,La Plata
-34.5968,-58.4193,Palermo,Palermo
-34.6261,-58.386,Constitución,Constitución
-34.5724,-58.4503,Colegiales,Colegiales
-34.6434,-58.4051,Parque Patricios,Parque Patricios
-34.5732,-58.4519,Colegiales,Colegiales
-34.5691,-58.4315,Palermo,Palermo
-34.5895,-58.4225,Palermo,Palermo
-34.5606,-58.4675,Belgrano,Belgrano
-34.5964,-58.3777,Retiro,Retiro
-34.5974,-58.4475,Villa Crespo,Villa Crespo
-34.6066,-58.4305,Almagro,Almagro
-34.6848,-58.4771,Villa Riachuelo,Villa Riachuelo
-34.6024,-58.4365,Villa Crespo,Villa Crespo
-34.5763,-58.4389,Palermo,Palermo
-34.5863,-58.4438,Chacarita,Chacarita
-34.5898,-58.416,Palermo,Palermo
-34.5778,-58.4956,Villa Urquiza,Villa Urquiza
-35.0082,-58.0127,Los Hornos,Los Hornos
-34.5538,-58.4744,Saavedra,Saavedra
-34.6053,-58.4271,Almagro,Almagro
-34.5848,-58.4159,Palermo,Palermo
-34.5863,-58.4438,Chacarita,Chacarita
-34.6157,-58.3979,Balvanera,Balvanera
-34.6146,-58.4877,Villa Santa Rita,Villa Santa Rita
-34.5673,-58.477,Villa Urquiza,Villa Urquiza
-34.5701,-58.4314,Palermo,Palermo
-34.5628,-58.4768,Coghlan,Coghlan
-34.6809,-58.4651,Villa Lugano,Villa Lugano
-34.5594,-58.4817,Coghlan,Coghlan
-34.5766,-58.4534,Colegiales,Colegiales
-34.6259,-58.4539,Flores,Flores
-34.5792,-58.4362,Palermo,Palermo
-34.6192,-58.4282,Almagro,Almagro
-34.5781,-58.4265,Palermo,Palermo
-34.5956,-58.4089,Recoleta,Recoleta
-34.9219,-57.9484,La Plata,La Plata
-34.583,-58.4268,Palermo,Palermo
-34.6169,-58.3902,Monserrat,Monserrat
-34.6163,-58.4069,Balvanera,Balvanera
-34.5938,-58.4306,Palermo,Palermo
-34.6336,-58.4244,Boedo,Boedo
-34.604,-58.4133,Almagro,Almagro
-34.6118,-58.3958,Balvanera,Balvanera
-34.5557,-58.4762,Coghlan,Coghlan
-34.5509,-58.4529,Belgrano,Belgrano
-34.6012,-58.4485,Villa Crespo,Villa Crespo
-34.5969,-58.4262,Villa Crespo,Villa Crespo
-34.5967,-58.4409,Villa Crespo,Villa Crespo
-34.5952,-58.4138,Recoleta,Recoleta
-34.5895,-58.395,Recoleta,Recoleta
-34.5938,-58.4287,Palermo,Palermo
-34.5709,-58.4427,Palermo,Palermo
-34.594,-58.3935,Recoleta,Recoleta
-34.6524,-58.3753,Barracas,Barracas
-34.6238,-58.4023,San Cristóbal,San Cristóbal
-34.6368,-58.4207,Boedo,Boedo
-34.6068,-58.4091,Balvanera,Balvanera
-34.9275,-57.9386,La Plata,La Plata
-34.6275,-58.4433,Caballito,Caballito
-34.5603,-58.4428,Belgrano,Belgrano
-34.5647,-58.4586,Belgrano,Belgrano
-34.9164,-57.9512,La Plata,La Plata
-34.6014,-58.4541,Villa Crespo,Villa Crespo
-34.6032,-58.4328,Almagro,Almagro
-34.6244,-58.3743,San Telmo,San Telmo
-34.5909,-58.4085,Recoleta,Recoleta
-34.5974,-58.4471,Villa Crespo,Villa Crespo
-34.6054,-58.4078,Balvanera,Balvanera
-34.6162,-58.4374,Caballito,Caballito
-34.6293,-58.4487,Caballito,Caballito
-34.6033,-58.4183,Almagro,Almagro
-34.6507,-58.5247,Liniers,Liniers
-34.5968,-58.4426,Villa Crespo,Villa Crespo
-34.6053,-58.4246,Almagro,Almagro
-34.623,-58.4415,Caballito,Caballito
-34.6278,-58.3608,La Boca,La Boca
-34.9239,-57.965,La Plata,La Plata
-34.6601,-58.5031,Mataderos,Mataderos
-34.5594,-58.4817,Coghlan,Coghlan
-34.5563,-58.4473,Belgrano,Belgrano
-34.908,-57.971,La Plata,La Plata
-34.6248,-58.4416,Caballito,Caballito
-34.6405,-58.5111,Liniers,Liniers
-34.6168,-58.3947,Balvanera,Balvanera
-34.9196,-57.9652,La Plata,La Plata
-34.5558,-58.4578,Belgrano,Belgrano
-34.6048,-58.4166,Almagro,Almagro
-34.5852,-58.3892,Recoleta,Recoleta
-34.9132,-57.929,La Plata,La Plata
-34.6235,-58.3765,San Telmo,San Telmo
-34.6302,-58.3675,La Boca,La Boca
-34.6359,-58.3622,La Boca,La Boca
-34.5894,-58.4224,Palermo,Palermo
-34.9136,-57.9696,La Plata,La Plata
-34.6263,-58.4306,Caballito,Caballito
-34.5987,-58.4039,Balvanera,Balvanera
-34.5811,-58.4135,Palermo,Palermo
-34.5814,-58.4088,Palermo,Palermo
-34.6175,-58.4196,Almagro,Almagro
-34.5612,-58.4682,Coghlan,Coghlan
-34.5823,-58.4353,Palermo,Palermo
-34.596,-58.4117,Recoleta,Recoleta
-34.6318,-58.466,Flores,Flores
-34.6032,-58.4353,Villa Crespo,Villa Crespo
-34.5974,-58.4475,Villa Crespo,Villa Crespo
-34.5901,-58.4234,Palermo,Palermo
-34.582,-58.411,Palermo,Palermo
-34.6209,-58.4154,Boedo,Boedo
-34.5543,-58.4849,Saavedra,Saavedra
-34.5905,-58.4198,Palermo,Palermo
-34.6275,-58.4066,San Cristóbal,San Cristóbal
-34.5956,-58.4998,Agronomía,Agronomía
-34.5895,-58.4081,Recoleta,Recoleta
-34.6084,-58.407,Balvanera,Balvanera
-34.5614,-58.4507,Belgrano,Belgrano
-34.623,-58.3715,San Telmo,San Telmo
-34.5833,-58.4139,Palermo,Palermo
-34.6072,-58.3707,San Nicolás,San Nicolás
-34.6166,-58.4183,Almagro,Almagro
-34.5934,-58.4422,Villa Crespo,Villa Crespo
-34.5769,-58.4931,Villa Urquiza,Villa Urquiza
-34.6143,-58.4074,Balvanera,Balvanera
-34.6149,-58.5291,Villa Real,Villa Real
-34.5937,-58.4074,Recoleta,Recoleta
-34.5605,-58.443,Belgrano,Belgrano
-34.564,-58.4762,Coghlan,Coghlan
-34.9238,-57.9799,La Plata,La Plata
-34.5996,-58.4904,Villa del Parque,Villa del Parque
-34.5651,-58.4805,Villa Urquiza,Villa Urquiza
-34.582,-58.432,Palermo,Palermo
-34.5449,-58.4608,Núñez,Núñez
-34.6121,-58.4117,Balvanera,Balvanera
-34.5789,-58.4239,Palermo,Palermo
-34.5603,-58.4774,Coghlan,Coghlan
-34.5545,-58.4601,Belgrano,Belgrano
-32.8873,-68.8374,Ciudad de Mendoza,Ciudad de Mendoza
-34.6157,-58.4734,Villa General Mitre,Villa General Mitre
-34.5975,-58.3762,Retiro,Retiro
-34.5861,-58.4118,Palermo,Palermo
-34.6205,-58.4404,Caballito,Caballito
-34.6378,-58.498,Villa Luro,Villa Luro
